PUC_Maximo_Asset_ID,DPW_Node_ID,Drain_Type,SYSTEM,System_Use_Code,System_Use,lng,lat
50818,50818,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13125603,29.94707075
50819,50819,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13098966,29.94744262
50820,50820,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13108864,29.94750539
50821,50821,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13080215,29.94776085
50822,50822,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13072196,29.94768701
50823,50823,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13054994,29.94773105
50824,50824,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13045876,29.94779583
50825,50825,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1307153,29.94800126
50826,50826,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13080942,29.94793151
50827,50827,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12977976,29.94727971
50828,50828,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12988057,29.94719065
50829,50829,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12982601,29.94707392
50830,50830,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13014088,29.94678623
50831,50831,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13059211,29.94655415
50832,50832,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13065537,29.94648474
50833,50833,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12937216,29.94752281
50834,50834,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12935814,29.94690092
50835,50835,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12942417,29.94683966
50836,50836,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13185043,29.94811786
50837,50837,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12904614,29.94796162
50838,50838,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12912411,29.94792172
50839,50839,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12909774,29.94778838
50840,50840,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12990658,29.94658037
50841,50841,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12958575,29.94688676
50842,50842,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12912557,29.94732497
50843,50843,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1288353,29.94759601
50844,50844,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12837605,29.94801548
50845,50845,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12861706,29.94760526
50846,50846,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12866777,29.94756511
50847,50847,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1288617,29.94647895
50848,50848,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12846287,29.94670839
50849,50849,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12837022,29.9466563
50850,50850,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12809863,29.94698437
50851,50851,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12805819,29.94694651
50852,50852,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12792746,29.94695844
50853,50853,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12789615,29.94699627
50854,50854,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1281465,29.94712041
50855,50855,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12810218,29.94716625
50856,50856,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12756974,29.9474082
50857,50857,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12766296,29.94747154
50858,50858,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12740102,29.94771347
50859,50859,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12730858,29.94764451
50860,50860,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12718103,29.94763022
50861,50861,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12712159,29.94768092
50862,50862,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1273339,29.94786471
50863,50863,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12741279,29.94780856
50864,50864,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12891475,29.94642258
50865,50865,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12683332,29.94808258
50866,50866,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1273348,29.9465437
50867,50867,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12737259,29.94650343
50868,50868,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12686112,29.94679181
50869,50869,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12689549,29.94679713
50870,50870,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12658385,29.94705485
50871,50871,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12660521,29.94706879
50872,50872,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12664183,29.94718536
50873,50873,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12656567,29.94725277
50874,50874,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12644422,29.9470317
50875,50875,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12637165,29.94709914
50876,50876,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1261517,29.94748768
50877,50877,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12613322,29.94747376
50878,50878,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12587449,29.94774571
50879,50879,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12585314,29.94773177
50880,50880,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12582531,29.94795647
50881,50881,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1258604,29.94790243
50882,50882,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12597472,29.94800159
50883,50883,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12589283,29.94806832
50884,50884,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12544848,29.94773056
50885,50885,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12552688,29.94765566
50886,50886,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12577959,29.94657568
50887,50887,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12583321,29.94653243
50888,50888,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12581867,29.94642919
50889,50889,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12536878,29.94684561
50890,50890,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1249731,29.94711068
50891,50891,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12503493,29.94715999
50892,50892,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1250431,29.94725504
50893,50893,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1249707,29.94730874
50894,50894,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12452546,29.94751899
50895,50895,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12460316,29.94756032
50896,50896,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12445857,29.94688037
50897,50897,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12451874,29.94682968
50898,50898,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12575766,29.94637177
50899,50899,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12424199,29.94805629
50900,50900,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12431763,29.94797262
